               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  93,            0.026258,            0.021802,           0.0019362,             0.88334,             0.73543,             0.79196,             0.51268,             0.03055,            0.018178,           0.0078524,           0.0081784,           0.0081784,           0.0081784
                  94,             0.02599,            0.022717,           0.0021197,             0.93739,             0.70426,             0.84058,             0.54229,            0.031659,            0.018726,           0.0063332,           0.0081586,           0.0081586,           0.0081586
                  95,            0.027279,            0.022982,           0.0020872,             0.81007,             0.81419,             0.85702,             0.55124,            0.031859,            0.017596,           0.0048594,           0.0081388,           0.0081388,           0.0081388
                  96,            0.026848,            0.022103,           0.0022092,             0.87565,             0.73972,             0.80153,             0.50955,            0.032637,            0.017612,           0.0067091,            0.008119,            0.008119,            0.008119
                  97,            0.026056,             0.02235,           0.0018706,             0.81541,             0.76685,             0.82675,             0.50749,            0.031592,            0.017672,           0.0051573,           0.0080992,           0.0080992,           0.0080992
                  98,             0.02675,            0.023022,           0.0020073,             0.87983,             0.71812,             0.78869,             0.50565,            0.030906,            0.017685,           0.0065804,           0.0080794,           0.0080794,           0.0080794
                  99,            0.025956,            0.021707,            0.002096,             0.75991,             0.78284,             0.79862,             0.50856,            0.031277,            0.018049,           0.0075903,           0.0080596,           0.0080596,           0.0080596
                 100,            0.026098,            0.023351,            0.001741,              0.8591,             0.77304,             0.81068,              0.5188,            0.031651,            0.017509,           0.0071056,           0.0080398,           0.0080398,           0.0080398
                 101,            0.025508,            0.021974,           0.0020437,             0.88532,             0.76376,             0.84371,             0.51446,            0.032022,            0.016888,           0.0057117,             0.00802,             0.00802,             0.00802
                 102,            0.026989,            0.021546,           0.0019473,             0.87237,             0.71836,             0.82172,              0.5293,            0.031327,            0.017709,           0.0047956,           0.0080002,           0.0080002,           0.0080002
                 103,            0.025946,            0.022348,           0.0019883,             0.91129,             0.74049,             0.84251,             0.55435,            0.031324,            0.016816,           0.0059043,           0.0079804,           0.0079804,           0.0079804
                 104,            0.026428,            0.021999,           0.0020491,             0.82359,             0.76681,             0.82678,              0.5424,            0.031684,            0.018707,           0.0067314,           0.0079606,           0.0079606,           0.0079606
                 105,            0.026341,            0.022783,           0.0020437,             0.91263,             0.70466,             0.80543,             0.52402,            0.032196,            0.017921,           0.0071056,           0.0079408,           0.0079408,           0.0079408
                 106,            0.026625,            0.021559,           0.0018563,             0.85494,             0.73581,             0.81096,             0.52569,            0.030837,            0.017453,           0.0067074,            0.007921,            0.007921,            0.007921
                 107,            0.026458,            0.022904,           0.0017115,               0.946,             0.70812,             0.79859,             0.50782,            0.031532,            0.017832,           0.0068659,           0.0079012,           0.0079012,           0.0079012
                 108,            0.025351,            0.021881,           0.0019028,             0.89498,             0.72598,             0.79635,             0.51441,            0.032365,            0.018054,             0.00783,           0.0078814,           0.0078814,           0.0078814
                 109,            0.026277,             0.02136,           0.0019137,             0.88816,             0.72318,             0.78408,             0.49707,            0.033034,            0.019744,           0.0092754,           0.0078616,           0.0078616,           0.0078616
                 110,            0.026008,            0.021917,           0.0017547,             0.89719,             0.72065,             0.80323,             0.53639,            0.031911,            0.019468,           0.0083513,           0.0078418,           0.0078418,           0.0078418
                 111,            0.026003,            0.021605,           0.0017176,             0.94573,             0.67501,             0.78514,             0.49049,            0.033428,            0.020136,           0.0095381,            0.007822,            0.007822,            0.007822
                 112,            0.025734,            0.020921,           0.0019053,             0.80415,             0.77631,             0.81728,             0.54273,            0.031204,            0.019396,           0.0078735,           0.0078022,           0.0078022,           0.0078022
                 113,            0.024893,            0.021176,           0.0019378,             0.91662,             0.70079,             0.80069,             0.53658,             0.03084,            0.019051,           0.0077477,           0.0077824,           0.0077824,           0.0077824
                 114,            0.025704,            0.021702,           0.0021602,             0.87969,             0.74064,             0.79944,             0.51274,            0.031717,             0.01813,           0.0064319,           0.0077626,           0.0077626,           0.0077626
                 115,            0.024752,            0.022527,            0.001871,             0.92438,              0.7102,             0.82956,             0.54422,            0.031589,            0.017067,           0.0062865,           0.0077428,           0.0077428,           0.0077428
                 116,            0.025459,            0.021927,            0.001751,               0.883,             0.76338,             0.81947,             0.51105,            0.031686,            0.016663,           0.0065123,            0.007723,            0.007723,            0.007723
                 117,            0.025104,            0.020999,           0.0019004,             0.86345,              0.7642,             0.84339,             0.54255,            0.032546,            0.017813,           0.0061669,           0.0077032,           0.0077032,           0.0077032
                 118,            0.024848,            0.020222,           0.0016819,             0.83091,             0.71996,             0.79721,             0.51534,            0.032169,            0.017337,           0.0078833,           0.0076834,           0.0076834,           0.0076834
                 119,            0.025412,            0.020058,           0.0017547,             0.80713,             0.72529,             0.78377,              0.5162,            0.031816,            0.017929,            0.010003,           0.0076636,           0.0076636,           0.0076636
                 120,            0.025224,            0.021079,           0.0016562,             0.86646,             0.75988,             0.81139,              0.5341,            0.032427,            0.017894,           0.0072647,           0.0076438,           0.0076438,           0.0076438
                 121,            0.025073,            0.021251,           0.0016376,              0.8926,             0.70407,             0.82593,             0.54622,            0.031611,            0.018805,           0.0062376,            0.007624,            0.007624,            0.007624
                 122,            0.025279,            0.021658,           0.0017853,              0.8896,             0.70704,             0.78576,             0.51437,            0.033496,             0.02002,           0.0080544,           0.0076042,           0.0076042,           0.0076042
                 123,            0.023918,            0.019441,            0.001836,             0.84738,             0.74652,             0.77715,              0.5151,            0.031897,            0.020037,              0.0108,           0.0075844,           0.0075844,           0.0075844
                 124,             0.02375,            0.020027,           0.0019245,             0.87342,             0.73862,             0.81805,             0.54699,            0.031578,            0.018886,           0.0084131,           0.0075646,           0.0075646,           0.0075646
                 125,            0.025041,            0.020875,           0.0020272,             0.87729,             0.71488,             0.79021,              0.5214,            0.032126,            0.019258,           0.0094242,           0.0075448,           0.0075448,           0.0075448
                 126,            0.024783,            0.020605,           0.0015861,             0.85343,             0.70835,             0.79468,             0.53078,            0.031205,            0.020302,           0.0092445,            0.007525,            0.007525,            0.007525
